City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Port Shepstone,ZA,77.16,light rain,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
480,Rafaela,AR,86.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
485,Makokou,GA,84.2,light rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
489,Waingapu,ID,78.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
491,Bilma,NE,81.05,few clouds,18.6853,12.9164,Expeditions Ténére voyages
499,Tucuman,AR,82.4,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
500,Huicungo,PE,77.0,moderate rain,-7.2833,-76.8,Gran Pajaten Trek
502,Gigmoto,PH,78.57,broken clouds,13.7796,124.39,Cj's Travellers Inn
504,Berbera,SO,75.9,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
510,Salinopolis,BR,84.45,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
511,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
512,San Vicente,AR,79.34,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
514,Ribas Do Rio Pardo,BR,82.02,clear sky,-20.4431,-53.7592,Pousada Avenida
520,Puerto Narino,CO,84.2,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
521,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
522,Isangel,VU,77.76,clear sky,-19.55,169.2667,Volcano Sea View Tree House
539,Sao Jose De Ribamar,BR,89.6,scattered clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
541,Pisco,PE,75.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
542,Kalemie,CD,76.55,moderate rain,-5.9475,29.1947,Mahobilali
543,Caloundra,AU,75.0,overcast clouds,-26.8,153.1333,Watermark Resort Caloundra
544,Arlit,NE,86.13,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
547,Chimbote,PE,75.18,overcast clouds,-9.0853,-78.5783,Hotel Briliá
548,Kralendijk,BQ,84.2,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
553,Biltine,TD,83.26,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
556,Willowmore,ZA,84.31,clear sky,-33.2926,23.4895,Jumper's Place
557,Barinas,VE,84.85,overcast clouds,8.6226,-70.2075,Hotel Suites Mastranto
558,Kulhudhuffushi,MV,82.27,broken clouds,6.6221,73.07,Haajy Guest House 1
559,Kruisfontein,ZA,75.99,clear sky,-34.0033,24.7314,Oyster Bay House Rental
562,Sarangani,PH,82.74,overcast clouds,5.4033,125.4636,Ballistic Islet
565,Trairi,BR,88.38,scattered clouds,-3.2778,-39.2689,janelas do mar
576,Bandarbeyla,SO,76.8,few clouds,9.4942,50.8122,JABIR HOTEL
578,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
581,Bamenda,CM,85.51,scattered clouds,5.9527,10.1582,Ayaba
586,Gamba,GA,82.26,light rain,-2.65,10.0,
588,Pauini,BR,83.3,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
593,Dennery,LC,86.0,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
594,Daru,PG,80.06,overcast clouds,-9.0763,143.2092,Daru Lodge
598,Bonthe,SL,84.96,broken clouds,7.5264,-12.505,Bonthe Holiday Village
601,Monte Carmelo,BR,78.49,moderate rain,-18.7247,-47.4986,Park hotel
603,Viedma,AR,77.0,clear sky,-40.8135,-62.9967,Hotel Cristal
604,Kasongo-Lunda,CD,84.31,few clouds,-6.4667,16.8167,
606,Bensonville,LR,82.4,broken clouds,6.4461,-10.6125,
607,Uruacu,BR,80.89,broken clouds,-14.5247,-49.1408,Cassius Hotel
608,Port Hedland,AU,80.6,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
610,Pemangkat,ID,77.7,light rain,1.1667,108.9667,Kost H.Syamsuddin
616,Robertsport,LR,82.6,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
617,Tsabong,BW,82.96,broken clouds,-26.0217,22.401,Springbok Motel
621,Tambura,SS,86.11,scattered clouds,5.6,27.4667,Rikito Lodge
