City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
229,Great Falls,47.5002,-111.3008,-0.99,78,90,10.36,US,light snow
230,Raudeberg,61.9875,5.1352,26.6,50,0,5.75,NO,clear sky
231,Tiksi,71.6872,128.8694,-25.46,85,100,7.23,RU,overcast clouds
232,Arroyo,41.6096,-4.7969,46.99,87,90,9.22,ES,overcast clouds
233,Sao Miguel Do Araguaia,-13.275,-50.1628,82.6,79,100,8.84,BR,overcast clouds
234,Takoradi,4.8845,-1.7554,83.26,77,42,10.8,GH,light rain
235,Sangar,63.9242,127.4739,-42.47,77,63,3.69,RU,broken clouds
236,Tabou,4.423,-7.3528,82.56,82,50,9.44,CI,light rain
237,Muli,2.9167,73.5667,81.66,74,99,14.32,MV,overcast clouds
238,Itupiranga,-5.1347,-49.3267,91.4,43,75,8.05,BR,broken clouds
239,Axim,4.8699,-2.2405,83.88,74,23,9.8,GH,few clouds
240,Kavieng,-2.5744,150.7967,81.86,71,96,3.78,PG,overcast clouds
241,Coventry,52.4066,-1.5122,42.01,93,40,4.61,GB,scattered clouds
242,Mackenzie,55.2999,-123.1698,-2.2,65,90,5.75,CA,overcast clouds
243,Puerto Escondido,15.85,-97.0667,82.4,74,40,7.25,MX,scattered clouds
244,Havre-Saint-Pierre,50.2334,-63.5986,30.2,100,90,14.97,CA,snow
245,Werda,-25.2667,23.2833,73.49,73,26,10.69,BW,scattered clouds
246,Horsham,51.064,-0.3272,46.4,87,75,6.91,GB,light rain
247,Temerloh,3.4483,102.4176,72.95,87,94,0.96,MY,overcast clouds
248,Champerico,14.3,-91.9167,80.6,65,0,6.44,GT,clear sky
249,Leh,34.1667,77.5833,7.59,55,4,2.33,IN,clear sky
250,Turayf,31.6725,38.6637,57.2,51,0,25.32,SA,clear sky
251,Ilhabela,-23.7781,-45.3581,76.84,64,88,3.49,BR,overcast clouds
252,Along,28.1667,94.7667,54.81,51,1,2.55,IN,clear sky
253,Pitimbu,-7.4706,-34.8086,89.6,55,40,11.5,BR,scattered clouds
254,Michigan City,41.7075,-86.895,12.99,72,90,10.36,US,haze
255,Lugoba,-6.45,38.3333,80.2,71,76,8.1,TZ,broken clouds
256,Taltal,-25.4,-70.4833,69.04,62,16,5.93,CL,few clouds
257,Upata,8.0086,-62.3989,86.59,42,100,6.73,VE,overcast clouds
258,Bend,44.0582,-121.3153,36.0,86,1,10.13,US,clear sky
259,Belmonte,-15.8631,-38.8828,86.0,70,75,11.5,BR,broken clouds
260,Hami,42.8,93.45,32.52,78,100,4.12,CN,overcast clouds
261,Tulun,54.5611,100.5792,10.83,93,100,4.61,RU,overcast clouds
262,Basoko,1.2391,23.616,87.53,47,13,1.12,CD,few clouds
263,Svetlaya,46.5389,138.3297,5.09,87,44,9.46,RU,scattered clouds
264,Jieshi,22.8134,115.8257,65.35,82,0,3.06,CN,clear sky
265,Srednekolymsk,67.45,153.6833,-21.84,85,7,2.33,RU,clear sky
266,Talaya,61.3833,152.75,-17.14,84,100,1.21,RU,overcast clouds
267,Nanortalik,60.1432,-45.2371,24.35,79,0,4.09,GL,clear sky
268,Kongolo,-5.3833,27.0,77.02,89,100,1.99,CD,moderate rain
269,Bailen,38.0964,-3.7779,57.0,66,75,14.14,ES,broken clouds
270,Udachnyy,66.4167,112.4,-35.9,79,0,4.07,RU,clear sky
271,Bracebridge,45.0334,-79.3163,17.6,67,90,16.11,CA,light snow
272,Taoudenni,22.6783,-3.9836,80.13,19,54,17.34,ML,broken clouds
273,Kismayo,-0.3582,42.5454,77.18,82,0,15.84,SO,clear sky
274,Gari,59.4307,62.3497,9.21,96,100,11.39,RU,snow
275,Ukiah,39.1502,-123.2078,35.6,93,1,2.48,US,clear sky
276,Yanam,16.7333,82.2167,77.0,65,38,3.2,IN,scattered clouds
277,Uray,60.1247,64.7758,34.56,98,100,9.82,RU,light rain
278,Torbay,47.6666,-52.7314,37.99,80,90,9.22,CA,overcast clouds
279,Deputatskiy,69.3,139.9,-34.94,85,92,0.54,RU,overcast clouds
280,East London,-33.0153,27.9116,77.0,83,75,11.5,ZA,broken clouds
281,Ahipara,-35.1667,173.1667,58.87,87,92,3.13,NZ,overcast clouds
282,Hasaki,35.7333,140.8333,42.8,87,20,8.05,JP,few clouds
283,Okha,53.5739,142.9478,0.37,92,100,17.16,RU,overcast clouds
284,High Level,58.5169,-117.136,-40.0,60,20,2.3,CA,fog
285,Nikolskoye,59.7035,30.7861,14.0,85,90,13.42,RU,light snow
286,Gherghita,44.8,26.2667,39.2,100,90,10.36,RO,mist
287,Stephenville,32.2207,-98.2023,52.0,76,40,9.22,US,scattered clouds
288,Padang,-0.9492,100.3543,77.0,83,20,2.3,ID,few clouds
289,Bonoua,5.2741,-3.595,86.0,79,20,13.8,CI,few clouds
290,Paita,-5.0892,-81.1144,86.0,54,0,8.05,PE,clear sky
291,Garowe,8.4054,48.4845,78.64,31,0,6.91,SO,clear sky
292,Steinbach,50.1667,8.5667,43.0,93,75,13.8,DE,broken clouds
293,Tamandare,-8.7597,-35.1047,86.02,59,36,12.28,BR,scattered clouds
294,Caravelas,-17.7125,-39.2481,82.89,81,92,9.93,BR,overcast clouds
295,Tuy Hoa,13.0833,109.3,71.46,87,95,6.15,VN,overcast clouds
296,Aksarka,66.5606,67.7975,-33.66,81,72,17.4,RU,broken clouds
297,Fengcheng,40.4536,124.0717,23.11,93,27,6.17,CN,scattered clouds
298,Mwene-Ditu,-7.0,23.45,71.6,92,100,5.3,CD,light rain
299,Challapata,-18.9,-66.7667,55.06,58,99,3.29,BO,overcast clouds
300,Cherskiy,68.75,161.3,-9.98,81,0,7.72,RU,clear sky
301,Nemuro,43.3236,145.575,28.02,95,100,9.8,JP,overcast clouds
302,Sulat,11.8103,125.4544,78.84,86,29,12.8,PH,scattered clouds
303,Maamba,-17.3667,27.15,79.02,73,89,3.8,ZM,overcast clouds
304,Bom Jardim,-7.7958,-35.5872,87.8,45,75,13.8,BR,broken clouds
305,Lakatoro,-16.0999,167.4164,78.69,77,7,3.65,VU,clear sky
306,Varhaug,58.6147,5.6457,26.6,46,0,8.05,NO,clear sky
307,Grand-Santi,4.25,-54.3833,80.91,88,87,4.9,GF,overcast clouds
308,San Carlos De Bariloche,-41.1456,-71.3082,90.0,26,0,3.44,AR,clear sky
309,Tarbagatay,51.4803,107.3602,-7.6,84,11,3.74,RU,light snow
310,Oktyabrskiy,54.4815,53.471,0.45,90,100,14.72,RU,overcast clouds
311,Esperance,-33.8667,121.9,60.8,82,90,11.5,AU,overcast clouds
312,Khowai,24.1,91.6333,63.9,50,0,0.31,IN,clear sky
313,Mangai,-4.05,19.5333,83.57,67,83,1.03,CD,broken clouds
314,Hirara,24.8,125.2833,70.03,64,0,6.69,JP,clear sky
315,Rocha,-34.4833,-54.3333,83.16,41,0,13.0,UY,clear sky
316,Xining,36.6167,101.7667,24.8,64,94,1.9,CN,overcast clouds
317,Faya,18.3851,42.4509,55.4,71,40,11.5,SA,scattered clouds
318,Kholodnyy,62.7167,147.95,-24.05,80,55,1.14,RU,broken clouds
319,Marawi,7.9986,124.2928,75.99,90,99,5.99,PH,overcast clouds
320,Trinidad,-14.8333,-64.9,87.8,62,75,4.59,BO,broken clouds
321,Umm Lajj,25.0213,37.2685,72.84,55,0,18.54,SA,clear sky
322,Gumdag,39.2061,54.5906,50.56,75,72,0.45,TM,broken clouds
323,Desaguadero,-16.5656,-69.0417,54.39,57,84,8.48,PE,broken clouds
324,Chandauli,25.2667,83.2667,62.6,63,0,5.75,IN,haze
325,Launceston,-41.45,147.1667,57.0,94,87,11.5,AU,overcast clouds
326,Margate,51.3813,1.3862,45.0,91,99,3.0,GB,overcast clouds
327,Snezhnogorsk,69.1933,33.2531,23.0,80,75,8.95,RU,light snow
328,Tyrma,50.0833,132.1667,-10.52,89,100,0.72,RU,overcast clouds
329,Cayenne,4.9333,-52.3333,78.8,94,75,4.61,GF,mist
330,Luganville,-15.5333,167.1667,77.5,82,26,4.0,VU,scattered clouds
331,Lima,-12.0432,-77.0282,77.0,83,0,8.05,PE,clear sky
332,Kita,13.0349,-9.4895,100.04,8,87,4.41,ML,overcast clouds
333,Kitui,-1.367,38.0106,72.73,69,32,8.68,KE,scattered clouds
334,Bagdarin,54.4333,113.6,-12.66,81,58,3.27,RU,broken clouds
335,Batemans Bay,-35.7167,150.1833,64.99,90,0,4.03,AU,clear sky
336,Bathsheba,13.2167,-59.5167,84.2,54,40,20.71,BB,scattered clouds
337,Maumere,-8.6199,122.2111,79.14,80,83,2.75,ID,light rain
338,Husavik,66.0449,-17.3389,33.8,64,75,6.91,IS,broken clouds
339,Cabatuan,10.8794,122.486,75.27,89,66,11.14,PH,broken clouds
340,Outjo,-20.1167,16.15,87.73,33,99,10.09,NA,overcast clouds
341,San Cristobal,7.7669,-72.225,68.25,89,100,4.23,VE,overcast clouds
342,Olafsvik,64.8945,-23.7142,35.71,79,100,16.87,IS,overcast clouds
343,Lorengau,-2.0226,147.2712,81.64,79,51,6.04,PG,broken clouds
344,Dickinson,29.4608,-95.0513,54.0,87,90,6.91,US,mist
345,Qinhuangdao,39.9317,119.5883,29.37,90,82,15.66,CN,light snow
346,Lermontovka,47.1453,134.3383,-13.18,89,45,1.01,RU,scattered clouds
347,Saint-Georges,12.0564,-61.7485,86.0,54,40,23.02,GD,scattered clouds
